doa,lag_seconds,GoogleLat,GoogleLng,
0,1162,33.5531,-112.1168,
0,28852,33.44919,-112.1001,
7,8,34.32128,-112.11413,
0,29,33.54837,-112.09966,
0,27,32.71311,-114.63304,
7,5,33.48776,-112.10842,
0,4006,33.06373,-111.57674,
0,24,32.24323,-110.92465,
0,238,33.57507,-112.11446,
7,14,33.41523,-111.62829,
7,10,33.64016,-112.10358,
7,0,33.44418,-112.90248,
0,62,33.43701,-112.7458,
7,29,32.0469,-111.29352,
0,38,33.34901,-111.96623,
0,281,33.4374,-111.71903,
0,265,32.17722,-110.75491,
7,23,32.309,-111.04193,
0,44,33.46571,-112.05632,
7,0,33.46571,-112.05632,
0,34,33.46571,-112.05632,
7,0,33.58276,-111.97755,
7,0,33.58276,-111.97755,
0,3568,33.31652,-112.19499,
0,4536,33.36422,-111.82452,
7,18,33.14753,-111.45783,
0,58,33.46597,-111.84323,
0,29,32.16832,-110.91764,
0,15998,33.64358,-112.06556,
0,206,33.3998,-111.97827,
0,288,35.70888,-109.54239,
7,0,33.55312,-112.17408,
0,43,33.58255,-112.00975,
8,12,32.71696,-114.59339,
0,26,33.47331,-112.11709,
0,44,35.14951,-114.56818,
0,40,33.46571,-112.00394,
7,15,33.56549,-112.30211,
0,179,32.12616,-111.06288,
0,189,33.48008,-111.96095,
7,7,33.44915,-112.05826,
0,102,33.64032,-112.04819,
0,60,33.38459,-111.89248,
0,35,33.64024,-112.06493,
0,47,33.58192,-112.17054,
0,3040,33.39251,-111.80547,
0,38,33.49585,-112.06503,
0,930,33.41243,-111.82298,
7,9,33.40672,-112.09944,
7,9,33.40672,-112.09944,
7,0,33.4616,-112.04762,
0,28,33.4616,-112.04762,
7,0,33.50816,-112.4186,
0,3534,33.45148,-111.80342,
0,39,33.49486,-112.16894,
7,36,32.78137,-109.69913,
0,569,33.48024,-111.98477,
0,275,31.34444,-109.55275,
0,525,33.31739,-111.68723,
0,122,33.20473,-111.78921,
7,5,33.50775,-112.34079,
0,1409,33.29195,-112.04732,
7,1,33.41493,-112.13464,
0,763,33.46586,-112.20338,
7,13,33.42156,-111.82289,
7,5,33.43682,-112.06018,
0,1782,33.36376,-111.91499,
0,140,33.53844,-112.16526,
0,125,33.40763,-111.87638,
0,70,33.4519,-112.15177,
7,20,33.48379,-112.14511,
7,7,33.45134,-112.09139,
0,31,35.19696,-111.64846,
0,86,32.98484,-112.08881,
0,412,32.69268,-114.62459,
0,20436,33.49531,-112.01028,
7,13,33.32689,-111.98756,
0,40,33.45131,-112.01089,
7,13,33.39218,-112.08191,
0,1944,33.48061,-112.169,
